SERIALNO,OC,RC,SEX,AGE
Sussex,0,0,1,75-85
West_Central_New_Castle,0,0,1,18-30
Kent,0,0,2,18-30
Sussex,0,0,1,75-85
Sussex,0,0,2,45-65
Sussex,0,0,1,65-75
South_New_Castle,1,1,1,12-18
Sussex,0,0,1,18-30
West_Central_New_Castle,0,0,1,45-65
North_New_Castle,0,0,1,45-65
North_New_Castle,0,0,1,30-45
East_Central_New_Castle,0,0,2,65-75
South_New_Castle,1,1,1,12-18
North_New_Castle,0,0,1,75-85
East_Central_New_Castle,0,0,1,45-65
Kent,0,0,1,45-65
East_Central_New_Castle,0,0,2,75-85
West_Central_New_Castle,0,0,1,18-30
Sussex,0,0,2,30-45
Kent,1,1,1,6-12
North_New_Castle,0,0,2,12-18
West_Central_New_Castle,0,0,1,18-30
East_Central_New_Castle,0,0,1,75-85
West_Central_New_Castle,0,0,2,45-65
South_New_Castle,0,0,1,18-30
North_New_Castle,1,1,1,6-12
West_Central_New_Castle,0,0,1,18-30
West_Central_New_Castle,1,1,2,12-18
Kent,0,0,2,30-45
Sussex,0,0,2,85-99
Kent,0,0,1,18-30
Sussex,1,1,1,6-12
East_Central_New_Castle,0,0,1,18-30
Kent,0,0,1,30-45
Kent,0,0,1,45-65
West_Central_New_Castle,0,0,1,18-30
Sussex,0,0,1,45-65
Sussex,0,0,1,65-75
West_Central_New_Castle,1,1,2,12-18
Sussex,0,0,1,30-45
East_Central_New_Castle,0,0,1,65-75
West_Central_New_Castle,0,0,1,30-45
Kent,0,0,2,18-30
Sussex,0,0,1,30-45
North_New_Castle,0,0,1,65-75
South_New_Castle,1,1,1,0-6
North_New_Castle,0,0,2,30-45
Kent,0,0,2,30-45
South_New_Castle,0,0,1,30-45
East_Central_New_Castle,0,0,1,30-45
North_New_Castle,0,0,1,65-75
Sussex,0,0,1,75-85
West_Central_New_Castle,0,0,1,65-75
East_Central_New_Castle,1,1,2,12-18
South_New_Castle,0,0,2,45-65
Sussex,0,0,2,30-45
West_Central_New_Castle,0,0,1,18-30
Sussex,0,0,1,65-75
Sussex,0,0,1,45-65
North_New_Castle,0,0,1,45-65
East_Central_New_Castle,0,0,1,65-75
East_Central_New_Castle,1,1,2,6-12
West_Central_New_Castle,0,0,2,45-65
North_New_Castle,1,1,1,6-12
West_Central_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,1,65-75
Kent,0,0,1,18-30
Sussex,0,0,1,18-30
Kent,0,0,2,18-30
Sussex,1,1,2,12-18
North_New_Castle,0,0,2,30-45
West_Central_New_Castle,1,1,2,0-6
Kent,0,0,1,45-65
Kent,0,0,2,45-65
North_New_Castle,0,0,1,45-65
South_New_Castle,1,1,2,12-18
Sussex,0,0,1,45-65
North_New_Castle,1,1,1,6-12
Sussex,1,1,2,12-18
South_New_Castle,0,0,2,45-65
Sussex,0,0,1,18-30
North_New_Castle,1,1,1,0-6
Sussex,0,0,1,65-75
West_Central_New_Castle,1,1,1,12-18
West_Central_New_Castle,0,0,2,65-75
Sussex,0,0,1,18-30
East_Central_New_Castle,0,0,2,18-30
Kent,0,0,1,18-30
South_New_Castle,0,0,1,45-65
East_Central_New_Castle,0,0,1,45-65
East_Central_New_Castle,0,0,2,75-85
Sussex,0,0,1,65-75
North_New_Castle,0,0,2,45-65
North_New_Castle,0,0,1,65-75
Kent,0,0,1,65-75
Sussex,1,1,1,12-18
East_Central_New_Castle,0,0,2,30-45
Sussex,0,0,1,45-65
North_New_Castle,0,0,2,75-85
Kent,0,0,2,30-45
East_Central_New_Castle,0,0,2,18-30
Sussex,0,0,2,45-65
West_Central_New_Castle,1,1,1,12-18
Sussex,0,0,2,65-75
Sussex,0,0,1,65-75
Sussex,0,0,2,65-75
Kent,1,1,1,6-12
West_Central_New_Castle,0,0,1,30-45
West_Central_New_Castle,0,0,2,45-65
Kent,0,0,2,45-65
Sussex,0,0,2,30-45
North_New_Castle,0,0,1,65-75
Kent,0,0,2,45-65
Kent,0,0,1,45-65
North_New_Castle,0,0,2,45-65
South_New_Castle,1,1,2,12-18
Kent,0,0,1,45-65
East_Central_New_Castle,1,1,2,0-6
West_Central_New_Castle,0,0,2,30-45
West_Central_New_Castle,0,0,1,30-45
East_Central_New_Castle,0,0,1,30-45
Kent,0,0,2,18-30
West_Central_New_Castle,0,0,1,30-45
West_Central_New_Castle,1,1,2,0-6
North_New_Castle,1,1,2,0-6
Kent,1,1,2,6-12
West_Central_New_Castle,0,0,1,30-45
South_New_Castle,1,1,1,6-12
Kent,0,0,2,45-65
North_New_Castle,0,0,1,45-65
South_New_Castle,0,0,2,45-65
Kent,0,0,1,30-45
West_Central_New_Castle,0,0,2,18-30
Kent,0,0,2,18-30
North_New_Castle,0,0,2,45-65
Sussex,0,0,2,75-85
West_Central_New_Castle,0,0,2,30-45
West_Central_New_Castle,0,0,1,45-65
West_Central_New_Castle,0,0,1,30-45
East_Central_New_Castle,0,0,2,30-45
North_New_Castle,1,1,1,12-18
Kent,0,0,2,45-65
South_New_Castle,0,0,2,30-45
West_Central_New_Castle,0,0,2,45-65
Kent,0,0,1,45-65
Sussex,0,0,2,18-30
West_Central_New_Castle,0,0,1,30-45
Kent,0,0,2,45-65
West_Central_New_Castle,1,1,1,12-18
Kent,0,0,2,18-30
North_New_Castle,0,0,2,45-65
East_Central_New_Castle,0,0,2,45-65
North_New_Castle,0,0,2,75-85
Kent,0,0,2,30-45
North_New_Castle,0,0,2,18-30
Kent,0,0,1,45-65
Sussex,0,0,2,45-65
Sussex,1,1,2,0-6
North_New_Castle,0,0,1,30-45
East_Central_New_Castle,0,0,2,30-45
South_New_Castle,0,0,2,45-65
East_Central_New_Castle,0,0,2,18-30
Kent,1,1,2,12-18
South_New_Castle,1,1,1,0-6
Kent,0,0,2,45-65
North_New_Castle,0,0,2,30-45
South_New_Castle,0,0,2,30-45
West_Central_New_Castle,0,0,2,30-45
Kent,0,0,1,18-30
Sussex,1,1,1,12-18
West_Central_New_Castle,1,1,1,0-6
East_Central_New_Castle,1,1,2,0-6
East_Central_New_Castle,0,0,1,30-45
East_Central_New_Castle,1,1,1,6-12
South_New_Castle,0,1,1,6-12
Kent,0,0,1,30-45
South_New_Castle,0,0,2,45-65
Sussex,1,1,1,12-18
South_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,1,18-30
West_Central_New_Castle,0,0,2,30-45
West_Central_New_Castle,1,1,1,12-18
South_New_Castle,0,0,2,45-65
East_Central_New_Castle,1,1,1,0-6
North_New_Castle,0,0,2,65-75
Kent,0,0,1,30-45
South_New_Castle,0,0,2,30-45
North_New_Castle,0,0,2,75-85
Sussex,0,0,2,30-45
West_Central_New_Castle,0,0,1,45-65
Sussex,1,1,2,12-18
West_Central_New_Castle,1,1,1,12-18
West_Central_New_Castle,0,0,2,65-75
Sussex,0,0,1,18-30
South_New_Castle,0,0,2,65-75
West_Central_New_Castle,0,0,1,45-65
Sussex,0,0,1,45-65
South_New_Castle,0,0,1,65-75
Sussex,0,0,1,45-65
South_New_Castle,0,0,2,30-45
North_New_Castle,0,0,2,30-45
East_Central_New_Castle,0,0,1,65-75
Kent,0,0,1,85-99
South_New_Castle,0,0,2,30-45
Sussex,0,0,1,18-30
East_Central_New_Castle,1,1,1,12-18
West_Central_New_Castle,0,0,2,30-45
Kent,0,0,1,18-30
West_Central_New_Castle,1,1,2,0-6
South_New_Castle,1,1,1,6-12
Kent,0,0,2,85-99
South_New_Castle,0,0,1,30-45
North_New_Castle,0,0,1,30-45
North_New_Castle,0,0,2,45-65
South_New_Castle,0,0,2,45-65
North_New_Castle,0,0,2,30-45
South_New_Castle,0,0,1,65-75
North_New_Castle,0,0,2,45-65
Sussex,0,0,2,45-65
East_Central_New_Castle,0,0,2,75-85
Kent,1,1,2,0-6
Sussex,1,1,2,6-12
North_New_Castle,1,1,2,6-12
Sussex,0,0,2,45-65
South_New_Castle,0,0,1,30-45
East_Central_New_Castle,1,1,1,6-12
East_Central_New_Castle,1,1,1,0-6
West_Central_New_Castle,0,0,1,18-30
Sussex,0,0,1,30-45
Sussex,0,0,1,18-30
South_New_Castle,0,0,2,65-75
East_Central_New_Castle,0,1,1,6-12
North_New_Castle,0,1,2,0-6
East_Central_New_Castle,0,0,1,30-45
Sussex,0,0,1,30-45
Sussex,0,0,2,65-75
North_New_Castle,1,1,1,6-12
North_New_Castle,1,1,1,6-12
West_Central_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,2,65-75
South_New_Castle,0,0,1,18-30
Kent,0,0,2,45-65
South_New_Castle,1,1,2,12-18
West_Central_New_Castle,0,0,1,18-30
North_New_Castle,0,0,1,45-65
West_Central_New_Castle,0,0,2,18-30
North_New_Castle,0,0,1,30-45
East_Central_New_Castle,1,1,1,6-12
North_New_Castle,1,1,1,6-12
South_New_Castle,1,1,1,12-18
West_Central_New_Castle,0,0,1,30-45
Sussex,0,0,2,45-65
West_Central_New_Castle,0,0,1,30-45
Sussex,0,0,1,45-65
South_New_Castle,0,0,2,65-75
South_New_Castle,0,0,1,30-45
West_Central_New_Castle,0,0,1,30-45
South_New_Castle,0,0,1,45-65
South_New_Castle,0,0,1,18-30
North_New_Castle,0,0,1,75-85
South_New_Castle,1,1,2,6-12
South_New_Castle,0,0,2,30-45
Kent,1,1,1,0-6
West_Central_New_Castle,0,0,1,75-85
North_New_Castle,0,0,1,30-45
North_New_Castle,0,0,2,30-45
East_Central_New_Castle,0,1,2,0-6
Kent,1,1,1,6-12
North_New_Castle,1,1,1,6-12
West_Central_New_Castle,0,0,1,65-75
Sussex,0,0,2,18-30
Sussex,0,0,2,45-65
West_Central_New_Castle,0,0,1,75-85
North_New_Castle,0,0,2,45-65
East_Central_New_Castle,1,1,2,12-18
Sussex,0,0,2,18-30
Sussex,0,0,2,45-65
West_Central_New_Castle,0,0,1,45-65
East_Central_New_Castle,1,1,1,6-12
Kent,0,1,1,6-12
South_New_Castle,0,0,2,18-30
Sussex,0,0,2,18-30
Sussex,0,0,2,18-30
Kent,1,1,1,6-12
East_Central_New_Castle,1,1,1,0-6
South_New_Castle,0,0,1,45-65
Kent,0,0,1,45-65
South_New_Castle,1,1,1,6-12
Sussex,1,1,1,0-6
East_Central_New_Castle,0,0,2,65-75
South_New_Castle,0,0,1,18-30
Sussex,0,0,1,30-45
Sussex,0,0,1,65-75
West_Central_New_Castle,0,0,1,45-65
North_New_Castle,0,0,1,75-85
West_Central_New_Castle,0,1,2,6-12
Kent,0,0,2,30-45
Sussex,0,0,1,18-30
Kent,0,0,2,45-65
West_Central_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,1,45-65
West_Central_New_Castle,0,0,2,30-45
North_New_Castle,0,0,1,65-75
North_New_Castle,0,0,1,45-65
West_Central_New_Castle,0,0,1,65-75
North_New_Castle,0,0,1,30-45
South_New_Castle,1,1,2,0-6
East_Central_New_Castle,0,1,1,6-12
Kent,0,0,1,30-45
Sussex,0,0,1,65-75
Kent,0,0,1,75-85
Sussex,0,0,2,45-65
Sussex,0,0,1,65-75
North_New_Castle,0,0,1,45-65
Kent,0,0,2,18-30
West_Central_New_Castle,0,0,2,30-45
West_Central_New_Castle,0,0,2,65-75
South_New_Castle,1,1,1,12-18
West_Central_New_Castle,0,0,1,18-30
South_New_Castle,0,0,1,45-65
West_Central_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,2,30-45
South_New_Castle,0,0,2,75-85
Sussex,0,0,1,45-65
West_Central_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,2,65-75
Sussex,0,0,2,75-85
Sussex,1,1,2,0-6
Kent,0,0,1,18-30
West_Central_New_Castle,0,0,2,65-75
West_Central_New_Castle,0,0,1,18-30
East_Central_New_Castle,1,1,2,6-12
West_Central_New_Castle,0,0,1,30-45
South_New_Castle,0,0,2,45-65
South_New_Castle,0,0,1,30-45
South_New_Castle,1,1,1,12-18
South_New_Castle,0,0,2,30-45
East_Central_New_Castle,0,0,1,18-30
East_Central_New_Castle,0,0,1,30-45
Kent,0,0,2,18-30
North_New_Castle,0,0,2,75-85
Kent,0,0,2,30-45
Sussex,0,0,2,30-45
South_New_Castle,0,0,1,30-45
West_Central_New_Castle,1,1,1,12-18
West_Central_New_Castle,1,1,1,6-12
East_Central_New_Castle,0,0,2,30-45
Sussex,0,0,1,45-65
Sussex,0,0,1,45-65
Kent,0,0,2,45-65
West_Central_New_Castle,1,1,1,6-12
South_New_Castle,0,0,1,45-65
East_Central_New_Castle,0,1,2,12-18
East_Central_New_Castle,0,0,2,45-65
Kent,0,0,2,65-75
Sussex,0,0,1,45-65
West_Central_New_Castle,1,1,1,0-6
West_Central_New_Castle,0,0,2,75-85
East_Central_New_Castle,0,0,2,45-65
Sussex,0,0,2,65-75
East_Central_New_Castle,0,0,1,12-18
Kent,0,0,1,30-45
Sussex,0,0,2,45-65
West_Central_New_Castle,0,0,1,30-45
Sussex,0,1,1,0-6
Kent,0,0,1,18-30
East_Central_New_Castle,0,0,2,30-45
Kent,0,0,1,18-30
East_Central_New_Castle,0,0,2,65-75
West_Central_New_Castle,0,0,2,45-65
Kent,0,0,2,30-45
South_New_Castle,0,0,2,30-45
Sussex,0,0,2,30-45
Sussex,0,0,2,65-75
Kent,1,1,1,0-6
West_Central_New_Castle,1,1,2,12-18
Sussex,0,0,1,65-75
Sussex,0,0,2,45-65
Sussex,1,1,1,0-6
South_New_Castle,0,0,1,45-65
Kent,0,0,1,45-65
Kent,0,0,1,65-75
Kent,0,0,2,30-45
Kent,1,1,1,0-6
East_Central_New_Castle,0,0,2,18-30
Kent,1,1,2,6-12
East_Central_New_Castle,0,0,2,30-45
South_New_Castle,1,1,1,0-6
West_Central_New_Castle,0,0,2,65-75
North_New_Castle,0,0,2,75-85
West_Central_New_Castle,0,0,2,75-85
Sussex,0,0,2,18-30
South_New_Castle,0,0,2,45-65
Sussex,0,0,1,65-75
South_New_Castle,0,0,1,45-65
Kent,1,1,2,6-12
South_New_Castle,0,0,1,45-65
North_New_Castle,1,1,1,12-18
Sussex,0,0,1,65-75
Kent,0,0,2,30-45
Kent,0,0,1,45-65
East_Central_New_Castle,1,1,2,12-18
North_New_Castle,0,0,1,45-65
Sussex,0,0,2,85-99
East_Central_New_Castle,0,0,2,30-45
East_Central_New_Castle,0,0,1,45-65
North_New_Castle,1,1,1,12-18
North_New_Castle,0,1,1,0-6
West_Central_New_Castle,0,0,2,18-30
West_Central_New_Castle,0,0,1,30-45
South_New_Castle,1,1,1,0-6
South_New_Castle,1,1,2,6-12
Sussex,1,1,2,6-12
Kent,0,0,1,45-65
Sussex,0,1,2,12-18
West_Central_New_Castle,0,0,1,45-65
West_Central_New_Castle,0,0,2,30-45
North_New_Castle,0,1,1,12-18
Sussex,0,0,1,30-45
Kent,0,0,2,45-65
East_Central_New_Castle,1,1,2,6-12
Kent,1,1,2,12-18
West_Central_New_Castle,0,0,2,30-45
Sussex,1,1,1,6-12
Sussex,0,0,1,18-30
West_Central_New_Castle,0,0,1,18-30
Kent,0,0,2,65-75
North_New_Castle,0,0,1,45-65
Sussex,0,0,2,30-45
Sussex,0,0,1,75-85
Sussex,0,0,2,65-75
East_Central_New_Castle,0,0,2,30-45
East_Central_New_Castle,0,0,1,18-30
West_Central_New_Castle,0,0,1,18-30
South_New_Castle,0,0,1,30-45
West_Central_New_Castle,0,0,1,30-45
North_New_Castle,0,0,1,18-30
Kent,0,0,1,45-65
Sussex,0,0,2,65-75
West_Central_New_Castle,0,0,1,18-30
Sussex,0,0,2,30-45
Kent,0,0,1,65-75
East_Central_New_Castle,0,0,2,45-65
South_New_Castle,0,0,1,65-75
South_New_Castle,1,1,1,12-18
East_Central_New_Castle,1,1,2,6-12
East_Central_New_Castle,0,0,2,30-45
Sussex,0,0,1,18-30
West_Central_New_Castle,0,0,2,45-65
East_Central_New_Castle,0,0,2,75-85
South_New_Castle,1,1,2,6-12
Kent,0,0,1,45-65
East_Central_New_Castle,1,1,2,0-6
East_Central_New_Castle,0,0,2,30-45
North_New_Castle,0,0,2,45-65
West_Central_New_Castle,0,0,1,45-65
North_New_Castle,0,0,2,75-85
East_Central_New_Castle,0,0,2,65-75
North_New_Castle,1,1,2,12-18
South_New_Castle,1,1,1,12-18
South_New_Castle,0,0,2,18-30
Sussex,0,0,2,45-65
South_New_Castle,0,0,2,30-45
East_Central_New_Castle,1,1,2,0-6
North_New_Castle,0,0,1,45-65
West_Central_New_Castle,0,0,2,45-65
Kent,0,0,2,45-65
West_Central_New_Castle,0,0,1,18-30
West_Central_New_Castle,1,1,2,12-18
North_New_Castle,0,0,2,75-85
North_New_Castle,0,0,2,45-65
Kent,0,0,1,65-75
North_New_Castle,1,1,1,6-12
Kent,0,0,2,30-45
South_New_Castle,0,1,2,6-12
