,SERIALNO,RELATE,OC,RC,SEX,SSPA,AGE,QTRBIR,HISPAN,RACEDET,GQTYP
0,0000003,17,0,0,1,0,56,2,01,01,2
1,0000004,01,0,0,2,0,56,1,01,02,0
2,0000004,03,0,0,2,0,19,1,01,02,0
3,0000004,03,0,0,1,0,18,1,01,02,0
4,0000004,03,1,1,2,0,17,2,01,02,0
5,0000004,03,1,1,1,0,14,1,01,02,0
6,0000005,01,0,0,1,0,44,2,01,01,0
7,0000006,01,0,0,1,0,88,2,01,01,0
8,0000008,01,0,0,1,0,69,2,01,01,0
9,0000009,01,0,0,2,0,24,3,01,02,0
10,0000009,06,0,1,2,0,16,3,01,02,0
11,0000009,14,0,0,1,0,25,0,01,02,0
12,0000011,01,0,0,2,0,52,1,01,47,0
13,0000011,03,0,0,2,0,26,1,01,47,0
14,0000011,03,0,0,2,0,25,2,01,47,0
15,0000011,03,1,1,1,0,16,2,01,47,0
16,0000011,03,1,1,1,0,10,2,01,47,0
17,0000012,16,0,0,1,0,37,2,01,02,1
18,0000013,01,0,0,1,0,40,0,01,01,0
19,0000013,02,0,0,2,0,37,1,01,01,0
20,0000013,03,1,1,1,0,6,2,01,01,0
21,0000013,03,1,1,1,0,1,3,01,01,0
22,0000014,01,0,0,2,0,39,0,01,02,0
23,0000014,03,1,1,1,0,14,2,01,02,0
24,0000014,03,1,1,1,0,8,1,01,02,0
25,0000015,01,0,0,1,0,72,3,01,01,0
26,0000015,02,0,0,2,0,69,0,01,01,0
27,0000016,01,0,0,2,0,59,0,01,02,0
28,0000017,01,0,0,2,0,85,2,01,02,0
29,0000018,01,0,0,1,0,49,0,02,73,0
30,0000018,02,0,0,2,0,46,1,02,73,0
31,0000018,03,0,0,1,0,21,1,02,73,0
32,0000018,03,1,1,2,0,12,0,02,73,0
33,0000018,10,0,1,2,0,17,2,02,73,0
34,0000019,01,0,0,1,0,45,3,01,01,0
35,0000019,02,0,0,2,0,39,1,01,01,0
36,0000019,03,0,0,1,0,20,0,01,01,0
37,0000019,05,1,1,2,0,15,2,01,01,0
38,0000020,01,0,0,2,0,37,2,01,01,0
39,0000021,01,0,0,2,0,42,0,01,02,0
40,0000021,03,1,1,2,0,8,3,01,02,0
41,0000022,17,0,0,1,0,46,2,01,01,2
42,0000023,16,0,0,1,0,30,0,01,02,1
43,0000024,01,0,0,1,0,54,1,01,02,0
44,0000025,01,0,0,1,0,47,1,05,73,0
45,0000025,02,0,0,2,0,29,1,01,01,0
46,0000025,03,0,0,1,0,26,0,05,73,0
47,0000025,03,1,1,1,0,10,2,05,01,0
48,0000025,03,1,1,1,0,9,0,05,01,0
49,0000025,03,1,1,2,0,6,1,05,01,0
50,0000025,03,1,1,1,0,4,0,05,01,0
51,0000026,01,0,0,1,0,71,1,01,02,0
52,0000026,02,0,0,2,0,70,3,01,02,0
53,0000027,01,0,0,2,0,83,0,01,01,0
54,0000028,01,0,0,2,0,45,1,04,01,0
55,0000028,13,0,0,2,0,55,2,01,01,0
56,0000028,14,0,0,2,0,45,1,01,01,0
57,0000029,01,0,0,1,0,35,1,01,02,0
58,0000029,02,0,0,2,0,35,3,01,02,0
59,0000030,01,0,0,2,0,34,2,01,02,0
60,0000030,03,1,1,2,0,10,3,01,02,0
61,0000030,06,0,0,2,0,46,0,01,02,0
62,0000031,01,0,0,2,0,19,2,01,02,0
63,0000032,01,0,0,1,0,62,3,02,01,0
64,0000032,02,0,0,2,0,60,1,02,01,0
65,0000033,01,0,0,1,0,44,0,01,02,0
66,0000034,01,0,0,1,0,46,2,01,02,0
67,0000036,01,0,0,2,0,18,1,01,01,0
68,0000036,03,1,1,2,0,0,3,01,01,0
69,0000036,06,0,1,1,0,11,2,01,01,0
70,0000036,07,0,0,1,0,38,0,01,01,0
71,0000036,07,0,0,2,0,37,3,01,01,0
72,0000038,01,0,0,2,0,73,0,01,01,0
73,0000039,01,0,0,1,0,71,3,01,01,0
74,0000039,02,0,0,2,0,68,2,01,01,0
75,0000039,03,0,0,2,0,37,2,01,01,0
76,0000040,01,0,0,2,0,59,2,01,02,0
77,0000040,14,0,0,1,0,57,1,01,02,0
78,0000041,01,0,0,2,0,42,3,01,01,0
79,0000041,03,0,0,2,0,19,0,01,01,0
80,0000041,03,1,1,1,0,16,0,01,01,0
81,0000041,14,0,0,1,0,36,3,01,01,0
82,0000042,01,0,0,2,0,24,0,01,01,0
83,0000042,13,0,0,2,0,25,1,01,01,0
84,0000043,01,0,0,2,0,34,0,01,01,0
85,0000043,02,0,0,1,0,32,2,01,01,0
86,0000044,01,0,0,1,0,59,2,01,01,0
87,0000046,01,0,0,1,0,59,0,01,01,0
88,0000046,13,0,0,1,0,57,2,01,01,0
89,0000049,01,0,0,1,0,58,1,03,01,0
90,0000050,01,0,0,2,0,46,1,01,02,0
91,0000050,14,0,0,1,0,46,1,01,02,0
92,0000051,01,0,0,2,0,80,1,01,01,0
93,0000052,01,0,0,1,0,53,2,01,02,0
94,0000053,01,0,0,2,0,33,2,03,01,0
95,0000053,03,1,1,1,0,11,1,03,02,0
96,0000053,14,0,0,1,0,37,3,01,02,0
97,0000054,01,0,0,1,0,77,3,01,02,0
98,0000054,02,0,0,2,0,77,3,01,02,0
99,0000055,01,0,0,2,0,47,1,01,02,0
100,0000056,01,0,0,1,0,23,0,01,01,0
101,0000056,02,0,0,2,0,35,3,01,74,0
102,0000056,05,1,1,1,0,17,2,01,74,0
103,0000056,05,1,1,2,0,11,1,01,74,0
104,0000056,09,0,0,2,0,53,2,01,74,0
105,0000056,11,0,1,2,0,17,1,01,74,0
106,0000056,15,0,0,1,0,47,2,01,01,0
107,0000057,01,0,0,2,0,46,2,01,02,0
108,0000057,03,0,0,2,0,20,1,01,02,0
109,0000057,03,1,1,2,0,15,0,01,02,0
110,0000057,03,1,1,1,0,6,1,01,02,0
111,0000059,01,0,0,2,0,32,1,01,02,0
112,0000059,03,1,1,1,0,14,1,01,02,0
113,0000059,03,1,1,1,0,12,3,01,02,0
114,0000059,03,1,1,1,0,9,2,01,02,0
115,0000060,01,0,0,2,0,37,3,01,01,0
116,0000060,02,0,0,1,0,42,0,01,01,0
117,0000061,01,0,0,2,0,50,2,01,01,0
118,0000061,03,0,0,1,0,20,0,01,01,0
119,0000061,14,0,0,1,0,52,2,01,01,0
120,0000062,01,0,0,1,0,80,3,01,01,0
121,0000062,02,0,0,2,0,83,0,01,01,0
122,0000063,01,0,0,1,0,77,3,01,02,0
123,0000063,02,0,0,2,0,74,2,01,02,0
124,0000063,03,0,0,1,0,59,1,01,02,0
125,0000063,03,0,0,1,0,54,2,01,02,0
126,0000063,03,0,0,1,0,49,1,01,02,0
127,0000063,03,0,0,2,0,41,2,01,02,0
128,0000065,01,0,0,1,0,57,0,01,02,0
129,0000066,01,0,0,1,0,55,0,01,01,0
130,0000066,13,0,0,2,0,54,2,01,01,0
131,0000067,16,0,0,1,0,22,0,03,02,1
132,0000068,01,0,0,1,0,45,0,19,73,0
133,0000068,02,0,0,2,0,42,2,19,73,0
134,0000069,01,0,0,1,0,69,0,01,01,0
135,0000069,02,0,0,2,0,67,0,01,01,0
136,0000070,01,0,0,2,0,77,3,01,01,0
137,0000071,01,0,0,2,0,26,2,01,01,0
138,0000072,01,0,0,2,0,27,2,01,02,0
139,0000072,03,1,1,1,0,0,1,01,02,0
140,0000072,11,0,1,2,0,8,1,01,02,0
141,0000073,01,0,0,2,0,19,0,01,02,0
142,0000073,06,0,0,1,0,23,3,01,02,0
143,0000073,06,0,0,2,0,20,3,01,02,0
144,0000073,07,0,0,1,0,54,1,01,02,0
